Age,Gender (male=1),Gift Size,Billing State
27.0, 0, 240.47, Utah
45.0, 1, 34.14, New York
25.0, 1, 70.54, New York
48.0, 1, 227.52, Florida
57.0, 1, 46.09, Delaware
34.0, 1, 24.61, Washington
50.0, 1, 18.73, Georgia
44.0, 0, 313.29, New York
69.0, 0, 7.09, Kentucky
54.0, 1, 52.58, Illinois
12.0, 1, 213.29, California
73.0, 0, 97.71, Michigan
28.0, 1, 21.4, Michigan
35.0, 1, 96.04, New Jersey
23.0, 1, 134.38, Texas
54.0, 1, 22.5, Alabama
87.0, 1, 189.84, North Carolina
72.0, 1, 100.01, New York
86.0, 1, 24.92, Michigan
66.0, 1, 128.89, Oregon
30.0, 0, 92.43, Tennessee
89.0, 0, 644.98, Pennsylvania
31.0, 0, 26.26, Connecticut
15.0, 1, 27.62, Pennsylvania
61.0, 1, 69.65, Missouri
100.0, 1, 153.99, Georgia
48.0, 1, 41.79, Florida
81.0, 0, 149.2, West Virginia
18.0, 1, 110.56, New York
54.0, 0, 82.37, New York
37.0, 0, 44.34, Tennessee
62.0, 1, 57.03, Colorado
28.0, 1, 28.37, Florida
0.0, 1, 47.66, New Jersey
18.0, 1, 601.39, Arizona
68.0, 0, 32.85, Florida
74.0, 0, 72.83, Nebraska
7.0, 0, 467.33, Colorado
38.0, 0, 39.62, Maine
30.0, 1, 18.21, Illinois
27.0, 1, 655.9, Mississippi
88.0, 0, 75.61, Oregon
48.0, 1, 106.34, Texas
89.0, 1, 108.13, California
9.0, 0, 128.22, Alabama
20.0, 0, 21.2, Texas
3.0, 1, 139.39, California
45.0, 1, 125.81, New York
33.0, 1, 267.39, Kentucky
70.0, 0, 270.06, Arkansas
64.0, 1, 15.98, Texas
3.0, 0, 75.36, New Jersey
32.0, 0, 452.12, New York
60.0, 0, 157.75, North Carolina
47.0, 0, 47.24, Virginia
60.0, 1, 283.13, Pennsylvania
46.0, 0, 162.96, Wyoming
2.0, 1, 45.46, North Carolina
32.0, 0, 93.96, Pennsylvania
29.0, 1, 14.23, Texas
56.0, 0, 119.88, Alabama
1.0, 1, 176.25, Texas
21.0, 0, 22.34, Arizona
51.0, 1, 5.86, Arizona
47.0, 1, 422.65, Texas
26.0, 0, 131.47, California
23.0, 0, 270.79, North Carolina
4.0, 0, 250.08, California
49.0, 1, 32.02, Texas
67.0, 0, 3.29, Washington
42.0, 1, 25.88, California
29.0, 1, 56.12, Tennessee
106.0, 0, 980.03, Indiana
1.0, 1, 51.06, Florida
4.0, 1, 287.0, Vermont
38.0, 0, 16.03, California
86.0, 1, 576.66, Arizona
32.0, 0, 33.19, Oregon
24.0, 1, 52.19, Florida
97.0, 0, 107.03, Texas
66.0, 0, 31.03, Missouri
91.0, 0, 256.47, Kentucky
58.0, 1, 627.02, South Dakota
5.0, 1, 14.43, Oklahoma
63.0, 1, 213.82, Texas
47.0, 0, 39.82, Pennsylvania
6.0, 1, 14.84, California
60.0, 1, 212.18, Ohio
6.0, 1, 40.72, Washington
4.0, 1, 10.21, California
79.0, 1, 340.88, North Carolina
36.0, 1, 6.44, Missouri
37.0, 0, 36.67, Ohio
1.0, 1, 54.64, Tennessee
59.0, 1, 256.94, Nevada
12.0, 1, 98.23, Washington
15.0, 1, 20.65, Alabama
20.0, 0, 29.65, Ohio
59.0, 0, 180.46, Texas
49.0, 0, 32.62, Arkansas
45.0, 1, 84.08, West Virginia
45.0, 1, 162.93, New York
4.0, 0, 50.7, Ohio
35.0, 0, 64.13, Oklahoma
7.0, 1, 79.5, Ohio
11.0, 1, 63.83, Mississippi
28.0, 1, 92.72, New York
33.0, 0, 483.24, California
0.0, 1, 187.14, Illinois
65.0, 1, 67.99, Missouri
51.0, 1, 103.82, Georgia
15.0, 0, 20.2, California
77.0, 1, 51.8, New York
18.0, 1, 5.23, Florida
60.0, 0, 110.3, Connecticut
53.0, 0, 27.64, Idaho
39.0, 1, 23.67, Missouri
85.0, 1, 35.19, New Jersey
32.0, 0, 28.43, Texas
2.0, 1, 81.79, Indiana
26.0, 0, 46.51, Maryland
53.0, 0, 188.02, Michigan
20.0, 0, 525.09, New York
1.0, 0, 268.0, Florida
35.0, 1, 72.33, Michigan
40.0, 0, 32.03, Maryland
15.0, 0, 12.08, New Jersey
82.0, 0, 97.44, Michigan
95.0, 1, 108.65, Michigan
43.0, 0, 155.71, Florida
45.0, 0, 32.36, Oregon
4.0, 1, 12.24, Georgia
40.0, 0, 59.22, Arkansas
68.0, 1, 35.43, North Carolina
11.0, 0, 74.95, Texas
52.0, 0, 62.8, Kentucky
82.0, 1, 26.74, Oklahoma
65.0, 1, 8.49, Delaware
24.0, 0, 33.15, California
42.0, 0, 13.02, Indiana
12.0, 0, 63.77, Louisiana
48.0, 1, 36.97, South Carolina
57.0, 0, 76.6, New York
52.0, 0, 157.24, Pennsylvania
4.0, 0, 10.2, New York
17.0, 0, 264.15, Arizona
45.0, 0, 59.12, Delaware
24.0, 0, 25.96, Illinois
44.0, 0, 127.65, New York
4.0, 1, 26.68, California
63.0, 0, 19.3, Louisiana
30.0, 1, 34.26, Texas
9.0, 1, 17.66, North Dakota
15.0, 1, 149.42, Texas
37.0, 1, 165.78, Texas
60.0, 1, 47.64, Oklahoma
75.0, 0, 11.25, Texas
57.0, 1, 35.72, Missouri
42.0, 1, 127.75, New York
42.0, 1, 39.01, Illinois
83.0, 0, 26.38, California
12.0, 1, 154.76, Colorado
11.0, 1, 246.18, Michigan
57.0, 0, 385.61, Illinois
88.0, 1, 28.48, Texas
23.0, 1, 206.73, Nevada
80.0, 0, 766.41, Texas
0.0, 1, 39.5, Virginia
68.0, 0, 45.85, Georgia
13.0, 0, 10.79, Georgia
17.0, 0, 532.45, California
62.0, 0, 35.5, Texas
44.0, 1, 716.2, Missouri
47.0, 0, 1.11, Texas
52.0, 0, 36.49, New York
88.0, 1, 78.01, Massachusetts
55.0, 1, 47.27, Washington
99.0, 0, 20.26, Wisconsin
37.0, 1, 73.52, Missouri
10.0, 1, 375.98, Pennsylvania
5.0, 1, 158.45, Maryland
44.0, 0, 3.46, Washington
83.0, 0, 46.48, Texas
55.0, 0, 93.41, Minnesota
3.0, 0, 23.91, Illinois
40.0, 0, 127.24, California
16.0, 0, 85.9, Nebraska
73.0, 0, 27.86, Maryland
71.0, 0, 57.88, Texas
14.0, 0, 76.54, Pennsylvania
20.0, 1, 57.76, Oregon
7.0, 1, 36.71, New Jersey
51.0, 0, 125.38, Arizona
18.0, 1, 24.17, Texas
37.0, 1, 21.71, Texas
57.0, 1, 3368.25, North Dakota
25.0, 1, 78.86, Arkansas
11.0, 1, 24.65, Georgia
59.0, 0, 204.0, Washington
33.0, 0, 58.49, Arizona
1.0, 0, 35.54, Texas
27.0, 1, 40.86, Florida
35.0, 1, 258.77, Wisconsin
13.0, 0, 31.38, Pennsylvania
85.0, 1, 20.14, Michigan
71.0, 1, 7.22, Tennessee
82.0, 1, 182.33, California
2.0, 0, 475.96, New Jersey
77.0, 0, 18.91, Arizona
27.0, 0, 94.67, Alaska
40.0, 1, 85.69, Georgia
29.0, 0, 598.73, Tennessee
38.0, 1, 222.72, Tennessee
3.0, 0, 294.2, Illinois
22.0, 0, 16.95, Minnesota
8.0, 0, 78.97, Nebraska
11.0, 0, 46.72, Georgia
97.0, 1, 61.98, California
66.0, 1, 14.04, Pennsylvania
25.0, 1, 73.59, Minnesota
1.0, 0, 244.74, Texas
8.0, 1, 141.83, Maryland
36.0, 0, 58.75, Virginia
21.0, 1, 83.32, North Carolina
28.0, 0, 6.15, Florida
56.0, 1, 18.66, Texas
76.0, 0, 75.25, Ohio
24.0, 1, 62.35, Arizona
113.0, 0, 17.67, North Carolina
5.0, 0, 146.85, Wisconsin
25.0, 0, 33.28, Colorado
2.0, 0, 126.9, Georgia
70.0, 1, 18.04, New Jersey
8.0, 1, 98.39, New York
41.0, 0, 74.87, New Jersey
49.0, 0, 153.95, California
58.0, 1, 40.06, Oklahoma
40.0, 0, 29.72, Ohio
37.0, 0, 12.28, New York
4.0, 0, 57.4, New Jersey
29.0, 1, 577.31, California
12.0, 1, 140.31, North Carolina
21.0, 1, 34.83, Texas
23.0, 0, 67.65, Missouri
25.0, 1, 148.44, Connecticut
17.0, 0, 54.95, Illinois
38.0, 0, 116.64, Colorado
50.0, 1, 12.16, Virginia
21.0, 0, 162.66, Arizona
61.0, 1, 69.0, Texas
31.0, 1, 4.54, Florida
41.0, 0, 16.09, Indiana
12.0, 1, 20.67, Oregon
30.0, 0, 312.46, Georgia
35.0, 1, 34.15, Pennsylvania
31.0, 0, 21.15, California
41.0, 0, 293.98, Ohio
20.0, 0, 33.16, Indiana
31.0, 1, 211.38, Georgia
111.0, 0, 92.65, California
26.0, 0, 7.48, Kansas
47.0, 0, 151.19, Michigan
20.0, 0, 29.13, Ohio
5.0, 1, 46.06, California
14.0, 1, 236.77, North Carolina
36.0, 1, 10.45, Missouri
15.0, 1, 42.65, California
19.0, 1, 18.09, Virginia
63.0, 0, 54.16, Arizona
92.0, 0, 81.16, New Jersey
7.0, 1, 60.66, Florida
4.0, 1, 54.57, California
42.0, 0, 575.53, Colorado
30.0, 1, 22.97, Alabama
32.0, 0, 262.68, Florida
30.0, 0, 11.96, Maryland
20.0, 1, 523.41, South Carolina
4.0, 1, 23.29, New York
82.0, 0, 183.99, California
79.0, 0, 339.49, Iowa
97.0, 0, 30.85, Tennessee
50.0, 0, 91.74, Connecticut
11.0, 0, 68.58, California
3.0, 1, 14.23, Missouri
53.0, 0, 24.89, Louisiana
16.0, 0, 40.67, Louisiana
48.0, 0, 5.25, Iowa
10.0, 0, 21.19, Washington
21.0, 0, 13.73, Massachusetts
37.0, 1, 87.65, Pennsylvania
34.0, 0, 44.31, Minnesota
58.0, 1, 1.74, Texas
27.0, 0, 78.52, Missouri
29.0, 1, 70.84, Missouri
6.0, 1, 48.49, Wisconsin
44.0, 0, 423.47, Illinois
69.0, 0, 205.05, California
20.0, 0, 44.73, Alabama
51.0, 1, 150.87, Georgia
58.0, 0, 103.15, Vermont
37.0, 1, 25.93, Wisconsin
61.0, 1, 49.54, Maine
50.0, 0, 17.76, Indiana
8.0, 0, 39.38, California
49.0, 1, 71.84, Louisiana
42.0, 0, 3.78, Alabama
75.0, 1, 509.39, Ohio
27.0, 1, 125.05, Wisconsin
79.0, 1, 43.75, Kentucky
73.0, 0, 22.08, California
72.0, 0, 75.13, Wisconsin
25.0, 0, 72.11, Pennsylvania
55.0, 0, 349.72, Texas
57.0, 1, 359.36, Texas
24.0, 1, 16.84, Texas
58.0, 0, 834.17, Illinois
22.0, 0, 123.31, Texas
29.0, 0, 12.78, Texas
14.0, 0, 78.98, Nebraska
46.0, 0, 164.46, New Hampshire
74.0, 1, 49.54, Alabama
45.0, 0, 48.1, Illinois
19.0, 0, 61.27, Michigan
37.0, 0, 63.56, New York
47.0, 0, 46.23, Ohio
66.0, 1, 139.08, Mississippi
72.0, 1, 18.24, North Carolina
0.0, 1, 75.03, California
20.0, 1, 10.03, Florida
31.0, 0, 84.66, Pennsylvania
27.0, 0, 65.34, Texas
80.0, 0, 93.29, New York
13.0, 1, 131.17, Idaho
28.0, 1, 34.24, California
58.0, 1, 127.02, California
54.0, 1, 9.4, Texas
60.0, 0, 255.8, Ohio
71.0, 1, 97.09, New Jersey
8.0, 1, 62.1, Texas
53.0, 0, 282.69, Wisconsin
95.0, 1, 18.71, Florida
65.0, 0, 43.65, Pennsylvania
25.0, 0, 30.79, Ohio
40.0, 0, 149.65, Mississippi
44.0, 0, 471.11, Michigan
21.0, 1, 119.43, Wisconsin
4.0, 0, 2.28, Texas
2.0, 1, 60.73, Florida
81.0, 0, 53.2, Maryland
18.0, 0, 39.25, Georgia
38.0, 1, 49.37, New York
7.0, 0, 32.58, Michigan
38.0, 0, 299.53, Texas
1.0, 1, 57.56, Texas
20.0, 0, 96.08, Massachusetts
41.0, 0, 109.72, Maine
41.0, 1, 44.04, California
55.0, 0, 61.18, New York
41.0, 1, 34.0, Maine
38.0, 1, 77.04, Arizona
73.0, 0, 21.31, Washington
6.0, 1, 21.35, Washington
2.0, 0, 776.17, Texas
18.0, 1, 19.75, Pennsylvania
33.0, 0, 93.33, Texas
79.0, 0, 67.01, Colorado
33.0, 0, 543.22, California
24.0, 0, 15.71, New York
33.0, 1, 29.0, Kentucky
48.0, 0, 100.08, Iowa
74.0, 1, 190.41, California
80.0, 1, 519.4, California
27.0, 1, 22.51, Colorado
13.0, 1, 122.25, California
42.0, 0, 248.15, California
59.0, 0, 53.79, Texas
30.0, 0, 91.31, Florida
28.0, 1, 122.46, Idaho
50.0, 1, 176.36, Maryland
47.0, 1, 343.41, Kansas
10.0, 1, 161.33, Arizona
19.0, 0, 108.11, Texas
36.0, 0, 36.66, Texas
85.0, 0, 38.27, Texas
28.0, 0, 132.2, Texas
3.0, 0, 299.97, California
1.0, 0, 245.74, California
28.0, 0, 6.42, Minnesota
3.0, 0, 77.01, Montana
57.0, 1, 131.99, Pennsylvania
32.0, 0, 79.54, Texas
51.0, 0, 579.89, Alabama
56.0, 0, 369.51, North Carolina
8.0, 0, 106.94, Washington
38.0, 0, 16.95, Texas
9.0, 0, 28.65, New Jersey
35.0, 1, 11.98, California
72.0, 1, 106.68, Georgia
19.0, 0, 27.12, Arizona
68.0, 1, 63.13, Florida
69.0, 1, 66.08, Pennsylvania
34.0, 0, 142.79, California
54.0, 0, 341.63, Georgia
51.0, 0, 7.07, Ohio
72.0, 1, 22.65, California
15.0, 1, 33.19, New York
22.0, 0, 36.4, Tennessee
54.0, 1, 4.66, Illinois
78.0, 0, 224.48, North Carolina
65.0, 1, 57.97, New York
81.0, 1, 96.41, Illinois
11.0, 1, 126.45, New Mexico
42.0, 1, 47.17, Iowa
59.0, 1, 77.43, California
75.0, 0, 101.68, Pennsylvania
47.0, 0, 164.87, Ohio
22.0, 1, 51.98, Georgia
52.0, 1, 165.19, Mississippi
45.0, 0, 77.4, California
34.0, 1, 87.38, California
21.0, 0, 249.76, Massachusetts
79.0, 1, 26.13, Florida
73.0, 0, 323.16, Texas
48.0, 0, 258.13, Oregon
33.0, 0, 42.97, Tennessee
47.0, 1, 23.61, New York
44.0, 1, 41.46, New Jersey
33.0, 1, 151.63, Kentucky
44.0, 0, 84.58, Massachusetts
7.0, 1, 196.99, Ohio
50.0, 0, 83.06, West Virginia
33.0, 0, 28.04, California
