SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2016,POPEST18PLUS2016,PCNT_POPEST18PLUS
010,0,0,00,United States,323127513,249485228,77.2
040,3,6,01,Alabama,4863300,3766477,77.4
040,4,9,02,Alaska,741894,554567,74.8
040,4,8,04,Arizona,6931071,5299579,76.5
040,3,7,05,Arkansas,2988248,2283195,76.4
040,4,9,06,California,39250017,30157154,76.8
040,4,8,08,Colorado,5540545,4279173,77.2
040,1,1,09,Connecticut,3576452,2823158,78.9
040,3,5,10,Delaware,952065,747791,78.5
040,3,5,11,District of Columbia,681170,560277,82.3
040,3,5,12,Florida,20612439,16465727,79.9
040,3,5,13,Georgia,10310371,7798827,75.6
040,4,9,15,Hawaii,1428557,1120541,78.4
040,4,8,16,Idaho,1683140,1245967,74
040,2,3,17,Illinois,12801539,9875430,77.1
040,2,3,18,Indiana,6633053,5057601,76.2
040,2,4,19,Iowa,3134693,2403962,76.7
040,2,4,20,Kansas,2907289,2192338,75.4
040,3,6,21,Kentucky,4436974,3426345,77.2
040,3,7,22,Louisiana,4681666,3567717,76.2
040,1,1,23,Maine,1331479,1076765,80.9
040,3,5,24,Maryland,6016447,4667719,77.6
040,1,1,25,Massachusetts,6811779,5433677,79.8
040,2,3,26,Michigan,9928300,7737243,77.9
040,2,4,27,Minnesota,5519952,4231619,76.7
040,3,6,28,Mississippi,2988726,2267438,75.9
040,2,4,29,Missouri,6093000,4706137,77.2
040,4,8,30,Montana,1042520,814909,78.2
040,2,4,31,Nebraska,1907116,1433791,75.2
040,4,8,32,Nevada,2940058,2262631,77
040,1,1,33,New Hampshire,1334795,1074207,80.5
040,1,2,34,New Jersey,8944469,6959717,77.8
040,4,8,35,New Mexico,2081015,1590352,76.4
040,1,2,36,New York,19745289,15564730,78.8
040,3,5,37,North Carolina,10146788,7848068,77.3
040,2,4,38,North Dakota,757952,581641,76.7
040,2,3,39,Ohio,11614373,9002201,77.5
040,3,7,40,Oklahoma,3923561,2961933,75.5
040,4,9,41,Oregon,4093465,3224738,78.8
040,1,2,42,Pennsylvania,12784227,10109422,79.1
040,1,1,44,Rhode Island,1056426,848045,80.3
040,3,5,45,South Carolina,4961119,3863498,77.9
040,2,4,46,South Dakota,865454,652167,75.4
040,3,6,47,Tennessee,6651194,5149399,77.4
040,3,7,48,Texas,27862596,20568009,73.8
040,4,8,49,Utah,3051217,2129444,69.8
040,1,1,50,Vermont,624594,506066,81
040,3,5,51,Virginia,8411808,6541685,77.8
040,4,9,53,Washington,7288000,5658502,77.6
040,3,5,54,West Virginia,1831102,1456034,79.5
040,2,3,55,Wisconsin,5778708,4491015,77.7
040,4,8,56,Wyoming,585501,446600,76.3
040,X,X,72,Puerto Rico Commonwealth,3411307,2715435,79.6
